index,first_name,last_name,email,gender,gem,class,character_name,gametime,country,level;
261,Felita,Dungay,fdungay79@techcrunch.com,male,arctic armour,Occultist,fdungay79,89,China,32;
262,Gerhardt,Tows,gtows7a@ocn.ne.jp,male,animate weapon,Berserker,gtows7a,349,Philippines,100;
263,,Flintoft,kflintoft7b@yahoo.co.jp,male,arctic armour,Ascendant,rflintoft7b,326,China,100;
264,Gal,Izkovicz,gizkovicz7c@jalbum.net,male,arctic armour,Raider,gizkovicz7c,212,China,100;
265,Reine,,rframmingham7d@acquirethisname.com,male,barrage,Berserker,rtobias7d,36,Philippines,14;
266,,,rwyper7e@g.co,male,arctic armour,Ascendant,osicily7e,66,Greece,68;
267,Niven,Opfer,nopfer7f@smugmug.com,male,barrage,Occultist,nopfer7f,299,France,100;
268,,Gillan,kgillan7g@furl.net,male,arctic armour,Guardian,jgillan7g,426,Russia,100;
269,Janek,Semken,jsemken7h@narod.ru,male,barrage,Hierophant,jsemken7h,20,Indonesia,13;
270,Ber,,bmoscon7i@goo.ne.jp,male,barrage,Guardian,beates7i,300,Russia,100;
271,Barn,Robison,brobison7j@hp.com,male,barrage,Chieftain,brobison7j,219,Russia,100;
272,Domini,Luttger,dluttger7k@abc.net.au,male,animate weapon,Hierophant,dluttger7k,275,Indonesia,100;
273,Deva,,dmeneur7l@aboutads.info,male,arctic armour,Berserker,dmcadam7l,333,South Korea,100;
274,Garry,Deane,gdeane7m@cargocollective.com,male,animate weapon,Champion,gdeane7m,2,Argentina,1;
275,Perceval,,pblackaller7n@go.com,male,barrage,Pathfinder,psackes7n,17,Sweden,16;
276,Trumann,Codner,tcodner7o@pinterest.com,male,animate weapon,Assassin,tcodner7o,189,Peru,100;
277,Rasia,Layfield,rlayfield7p@bbc.co.uk,male,animate weapon,Juggernaut,rlayfield7p,66,Denmark,70;
278,Shoshana,Shenton,sshenton7q@thetimes.co.uk,male,barrage,Inquisitor,sshenton7q,61,Portugal,57;
279,Ulrikaumeko,,usandhill7r@va.gov,male,barrage,Guardian,ubecke7r,431,Ethiopia,100;
280,Courtney,Dana,cdana7s@cbc.ca,male,arctic armour,Elementalist,cdana7s,448,Philippines,100;
281,Patricio,Jehaes,pjehaes7t@exblog.jp,male,barrage,Berserker,pjehaes7t,331,China,100;
282,Temp,Kramer,tkramer7u@va.gov,male,arctic armour,Raider,tkramer7u,14,Colombia,22;
283,,,ckeppel7v@nyu.edu,male,barrage,Chieftain,adetoile7v,105,Bulgaria,51;
284,Bendick,Linstead,blinstead7w@360.cn,male,barrage,Ascendant,blinstead7w,392,South Korea,100;
285,Anica,Loynton,aloynton7x@mlb.com,male,animate weapon,Raider,aloynton7x,287,Czech Republic,100;
286,,Currm,acurrm7y@friendfeed.com,male,barrage,Inquisitor,kcurrm7y,387,Brazil,100;
287,Amargo,Bullcock,abullcock7z@amazon.co.jp,male,barrage,Pathfinder,abullcock7z,358,Philippines,100;
288,Dalenna,,dbransgrove80@washingtonpost.com,male,arctic armour,Occultist,dfolger80,259,Sudan,100;
289,Rinaldo,,rcannaway81@gov.uk,male,arctic armour,Chieftain,rsaulter81,132,Indonesia,100;
290,Jess,Gillow,jgillow82@jigsy.com,male,animate weapon,Chieftain,jgillow82,277,Indonesia,100;
291,Kelwin,,kdrew83@webnode.com,male,arctic armour,Berserker,kwalisiak83,83,Philippines,42;
292,Freddy,Maase,fmaase84@state.tx.us,male,barrage,Slayer,fmaase84,363,Democratic Republic of the Congo,100;
293,Edan,,edriuzzi85@istockphoto.com,male,animate weapon,Gladiator,ehowton85,180,Russia,100;
294,Byron,,bnorsister86@nature.com,male,barrage,Hierophant,bspellesy86,414,Russia,100;
295,Tedi,Riddlesden,triddlesden87@51.la,male,barrage,Guardian,triddlesden87,421,Philippines,100;
296,Kakalina,O'Kane,kokane88@booking.com,male,barrage,Berserker,kokane88,346,Philippines,100;
297,,Mccaull,amccaull89@pen.io,male,barrage,Saboteur,dmccaull89,281,Indonesia,100;
298,Gretel,Meindl,gmeindl8a@state.tx.us,male,arctic armour,Saboteur,gmeindl8a,286,Indonesia,100;
299,Winona,Ellerbeck,wellerbeck8b@soundcloud.com,male,barrage,Slayer,wellerbeck8b,381,Russia,100;
300,Gannon,,gduprey8c@google.co.jp,male,animate weapon,Gladiator,gmowling8c,169,Indonesia,100;
301,Monroe,Gonzalvo,mgonzalvo8d@springer.com,male,barrage,Gladiator,mgonzalvo8d,364,Philippines,100;
302,,Lipscomb,elipscomb8e@alibaba.com,male,arctic armour,Occultist,mlipscomb8e,385,Colombia,100;
303,Valentina,Knappen,vknappen8f@reverbnation.com,male,animate weapon,Trickster,vknappen8f,47,China,12;
304,Roderic,,rscarlin8g@narod.ru,male,barrage,Guardian,rpozzo8g,186,China,100;
305,Roberta,Breming,rbreming8h@washington.edu,male,arctic armour,Raider,rbreming8h,377,Russia,100;
306,Vite,Guillot,vguillot8i@wikispaces.com,male,animate weapon,Ascendant,vguillot8i,247,Ukraine,100;
307,Eldin,Layson,elayson8j@europa.eu,male,animate weapon,Guardian,elayson8j,227,Iran,100;
308,Sydelle,,sdanzey8k@usda.gov,male,barrage,Ascendant,sskivington8k,367,Poland,100;
309,Linc,,lmcguckin8l@mtv.com,male,animate weapon,Guardian,llouys8l,200,Sweden,100;
310,Arri,,ahallitt8m@amazon.com,male,animate weapon,Raider,abenardette8m,111,China,51;
311,Tonnie,Kerfod,tkerfod8n@senate.gov,male,barrage,Ascendant,tkerfod8n,115,China,59;
312,Silvia,MacGettigen,smacgettigen8o@jiathis.com,male,animate weapon,Raider,smacgettigen8o,14,Indonesia,22;
313,Clarance,Di Carlo,cdicarlo8p@technorati.com,male,barrage,Guardian,cdicarlo8p,33,Canada,22;
314,Bert,,bmays8q@opera.com,male,barrage,Occultist,battrie8q,31,Indonesia,3;
315,Lorene,Blamey,lblamey8r@bravesites.com,male,barrage,Raider,lblamey8r,323,Portugal,100;
316,Muffin,,madenet8s@smugmug.com,male,barrage,Assassin,maubin8s,62,Norway,52;
317,Maddalena,Rooper,mrooper8t@census.gov,male,animate weapon,Slayer,mrooper8t,140,Indonesia,100;
318,Aristotle,Heymann,aheymann8u@booking.com,male,arctic armour,Raider,aheymann8u,199,China,100;
319,Elli,,eshuxsmith8v@1und1.de,male,animate weapon,Guardian,edisman8v,30,Iraq,9;
320,Cammy,Scartifield,cscartifield8w@taobao.com,male,barrage,Assassin,cscartifield8w,209,Philippines,100;
321,Yorke,Rathmell,yrathmell8x@paginegialle.it,male,arctic armour,Juggernaut,yrathmell8x,212,Dominican Republic,100;
322,Sally,Chapman,schapman8y@va.gov,male,barrage,Pathfinder,schapman8y,214,Russia,100;
323,Nanine,Guppy,nguppy8z@cocolog-nifty.com,male,barrage,Juggernaut,nguppy8z,383,Poland,100;
324,Rycca,Gonoude,rgonoude90@squidoo.com,male,barrage,Assassin,rgonoude90,227,Brazil,100;
325,Eolande,,efumagallo91@gravatar.com,male,arctic armour,Juggernaut,efessby91,431,Israel,100;
326,Anders,Rosle,arosle92@webeden.co.uk,male,barrage,Juggernaut,arosle92,166,Kosovo,100;
327,Aube,Carbin,acarbin93@sfgate.com,male,arctic armour,Berserker,acarbin93,414,France,100;
328,Shellysheldon,,smennithorp94@techcrunch.com,male,barrage,Gladiator,smerrison94,345,Slovenia,100;
329,Conni,,cjacobowicz95@noaa.gov,male,barrage,Guardian,cbroadfield95,349,China,100;
330,Klara,,kmagister96@howstuffworks.com,male,arctic armour,Necromancer,krussell96,129,Brazil,100;
331,,,mreuble97@com.com,male,arctic armour,Trickster,mjeyness97,251,Philippines,100;
332,,,vfontanet98@yahoo.com,male,barrage,Necromancer,hmates98,112,Ukraine,50;
333,Aile,,aspinks99@umn.edu,male,arctic armour,Gladiator,afinlater99,202,Greece,100;
334,Veriee,Voisey,vvoisey9a@creativecommons.org,male,barrage,Deadeye,vvoisey9a,99,Poland,50;
335,Danella,,drising9b@netvibes.com,male,animate weapon,Pathfinder,dyeardley9b,116,Sweden,32;
336,Paddy,Gally,pgally9c@vinaora.com,male,barrage,Pathfinder,pgally9c,260,Ivory Coast,100;
337,Marylinda,Oxlee,moxlee9d@digg.com,male,barrage,Berserker,moxlee9d,133,China,100;
338,Ondrea,,omulqueen9e@nymag.com,male,barrage,Juggernaut,omillar9e,249,China,100;
339,Errol,,eygoe9f@etsy.com,male,animate weapon,Saboteur,emagrannell9f,58,Jamaica,60;
340,Swen,Webber,swebber9g@abc.net.au,male,barrage,Raider,swebber9g,308,Russia,100;
341,Morry,Sandcraft,msandcraft9h@issuu.com,male,animate weapon,Ascendant,msandcraft9h,411,Albania,100;
342,Gypsy,,gmein9i@nasa.gov,male,barrage,Guardian,gchumley9i,284,Brazil,100;
343,Trudy,Burnett,tburnett9j@livejournal.com,male,arctic armour,Ascendant,tburnett9j,115,Philippines,28;
344,Pier,,phigford9k@a8.net,male,barrage,Elementalist,pbeernaert9k,354,Russia,100;
345,,Lorent,alorent9l@studiopress.com,male,barrage,Guardian,alorent9l,257,Portugal,100;
346,Salomone,Sidlow,ssidlow9m@nbcnews.com,male,barrage,Trickster,ssidlow9m,30,China,20;
347,Sarina,Byllam,sbyllam9n@abc.net.au,male,barrage,Occultist,sbyllam9n,9,China,22;
348,,Fetherstan,tfetherstan9o@wiley.com,male,barrage,Juggernaut,afetherstan9o,411,Philippines,100;
349,,Jellard,djellard9p@intel.com,male,barrage,Hierophant,kjellard9p,97,Indonesia,65;
350,Curr,Petegree,cpetegree9q@wp.com,male,barrage,Chieftain,cpetegree9q,253,Brazil,100;
351,Lamond,,liffe9r@state.tx.us,male,barrage,Gladiator,llawtey9r,377,China,100;
352,Chris,,cscading9s@linkedin.com,male,animate weapon,Occultist,cbroome9s,416,China,100;
353,Ignacius,Blowing,iblowing9t@domainmarket.com,male,arctic armour,Raider,iblowing9t,34,China,17;
354,Rhianna,,rrosten9u@com.com,male,barrage,Juggernaut,rbrownscombe9u,372,Indonesia,100;
355,Tallulah,Bog,tbog9v@cnbc.com,male,barrage,Trickster,tbog9v,49,Portugal,6;
356,Marchall,,mrennebeck9w@mediafire.com,male,barrage,Slayer,mbatchan9w,242,Portugal,100;
357,Ruggiero,,rbeche9x@printfriendly.com,male,barrage,Berserker,rmathias9x,317,Finland,100;
358,Gerrie,Wakerley,gwakerley9y@merriam-webster.com,male,barrage,Saboteur,gwakerley9y,247,Thailand,100;
359,Whitaker,,wbonass9z@friendfeed.com,male,arctic armour,Necromancer,wlayburn9z,333,Czech Republic,100;
360,Guillemette,Amies,gamiesa0@rambler.ru,male,arctic armour,Berserker,gamiesa0,205,China,100;
361,Elsie,Korneichuk,ekorneichuka1@ifeng.com,male,barrage,Chieftain,ekorneichuka1,409,Japan,100;
362,Luis,Dytham,ldythama2@craigslist.org,male,animate weapon,Berserker,ldythama2,362,Indonesia,100;
363,Vitia,Ffrench,vffrencha3@bigcartel.com,male,barrage,Pathfinder,vffrencha3,82,Colombia,69;
364,Curcio,,cburnsydea4@weibo.com,male,arctic armour,Pathfinder,ccompsona4,201,Indonesia,100;
365,Carilyn,Bartke,cbartkea5@reddit.com,male,arctic armour,Guardian,cbartkea5,424,China,100;
366,,,shurlera6@shareasale.com,male,animate weapon,Ascendant,smongana6,64,Indonesia,25;
367,Paulo,,pdurbyna7@printfriendly.com,male,barrage,Assassin,pjerdeina7,10,China,21;
368,Janella,Reaper,jreapera8@qq.com,male,arctic armour,Occultist,jreapera8,240,Argentina,100;
369,Gregor,Wild,gwilda9@nps.gov,male,barrage,Gladiator,gwilda9,284,Mongolia,100;
370,Reeba,Barthorpe,rbarthorpeaa@irs.gov,male,barrage,Gladiator,rbarthorpeaa,349,Sweden,100;
371,Judye,Lawdham,jlawdhamab@biglobe.ne.jp,male,barrage,Assassin,jlawdhamab,241,Peru,100;
372,Wright,,wcranshawac@prnewswire.com,male,barrage,Champion,wyurlovac,104,Venezuela,34;
373,Calvin,Girdler,cgirdlerad@g.co,male,barrage,Berserker,cgirdlerad,109,Albania,61;
374,Ameline,Durbridge,adurbridgeae@hao123.com,male,animate weapon,Raider,adurbridgeae,77,Indonesia,39;
375,Land,Grahame,lgrahameaf@canalblog.com,male,arctic armour,Guardian,lgrahameaf,370,Russia,100;
376,Waly,Rapo,wrapoag@yandex.ru,male,animate weapon,Assassin,wrapoag,252,Philippines,100;
377,Lionel,Kertess,lkertessah@vimeo.com,male,barrage,Juggernaut,lkertessah,53,Brazil,32;
378,Violette,Cheves,vchevesai@instagram.com,male,arctic armour,Necromancer,vchevesai,146,China,100;
379,Emmit,,edurnoaj@apple.com,male,barrage,Ascendant,eskateaj,88,Russia,70;
380,Manya,Trimbey,mtrimbeyak@forbes.com,male,barrage,Berserker,mtrimbeyak,253,Ukraine,100;
381,Edouard,,eleysal@domainmarket.com,male,barrage,Guardian,edurnallal,23,Brazil,25;
382,Johna,Monaghan,jmonaghanam@marriott.com,male,arctic armour,Ascendant,jmonaghanam,34,United States,12;
383,Beatrisa,,bfarnorthan@hao123.com,male,animate weapon,Raider,bguerreroan,158,Syria,100;
384,Maggy,,mmateescuao@yelp.com,male,animate weapon,Raider,mjosefsonao,139,South Africa,100;
385,Abigail,,akellickap@ustream.tv,male,barrage,Champion,agingerap,56,Malta,64;
386,Marylou,Samwyse,msamwyseaq@mlb.com,male,animate weapon,Juggernaut,msamwyseaq,259,China,100;
387,Xaviera,Stowgill,xstowgillar@mayoclinic.com,male,barrage,Deadeye,xstowgillar,54,China,48;
388,Ashely,,adillingstoneas@sogou.com,male,animate weapon,Ascendant,aannakinas,406,United States,100;
389,Melamie,Skipping,mskippingat@dailymail.co.uk,male,arctic armour,Berserker,mskippingat,439,Egypt,100;
390,Garvin,Ranscomb,granscombau@ft.com,male,animate weapon,Occultist,granscombau,129,Vietnam,100;
391,Arleta,Dallander,adallanderav@latimes.com,male,animate weapon,Saboteur,adallanderav,80,Albania,37;
392,Freemon,Jamot,fjamotaw@nasa.gov,male,barrage,Gladiator,fjamotaw,233,Russia,100;
393,Packston,,pbelliniax@nationalgeographic.com,male,animate weapon,Ascendant,pkenlinax,294,China,100;
394,Benedetta,Espinal,bespinalay@china.com.cn,male,animate weapon,Slayer,bespinalay,416,Sweden,100;
395,Natale,Saleway,nsalewayaz@who.int,male,barrage,Assassin,nsalewayaz,393,Poland,100;
396,Tannie,,thansberryb0@usa.gov,male,barrage,Gladiator,telveyb0,27,Indonesia,11;
397,Leeanne,,ltatloweb1@miitbeian.gov.cn,male,animate weapon,Saboteur,lgisburneb1,220,Tunisia,100;
398,Wildon,Savins,wsavinsb2@hubpages.com,male,animate weapon,Chieftain,wsavinsb2,357,Uruguay,100;
399,Carmine,,cabelesb3@about.me,male,barrage,Trickster,cgirodonb3,14,Greece,21;
400,Ardelia,,apetrasb4@deliciousdays.com,male,barrage,Necromancer,awiddocksb4,388,South Africa,100;
401,Marlon,,mtschirascheb5@seattletimes.com,male,barrage,Hierophant,mmedlingb5,26,Armenia,17;
402,Joli,,jgerrieb6@ebay.com,male,animate weapon,Champion,jhedworthb6,321,Philippines,100;
403,Tiebout,O'Hollegan,toholleganb7@godaddy.com,male,arctic armour,Juggernaut,toholleganb7,303,Philippines,100;
404,Ros,,rlesmondeb8@abc.net.au,male,barrage,Berserker,rtebaldb8,94,China,39;
405,Berte,,bcaughtb9@booking.com,male,barrage,Trickster,bbrosinib9,139,Vietnam,100;
406,Babita,Brushneen,bbrushneenba@netlog.com,male,barrage,Pathfinder,bbrushneenba,335,Macedonia,100;
407,Brina,Greendale,bgreendalebb@themeforest.net,male,barrage,Gladiator,bgreendalebb,92,China,68;
408,Cherilyn,Bracegirdle,cbracegirdlebc@marriott.com,male,barrage,Inquisitor,cbracegirdlebc,355,Russia,100;
409,Arabella,Pierrepont,apierrepontbd@gov.uk,male,arctic armour,Saboteur,apierrepontbd,321,Philippines,100;
410,Julian,Piecha,jpiechabe@naver.com,male,animate weapon,Trickster,jpiechabe,338,Serbia,100;
411,Garry,,gcutrissbf@newyorker.com,male,barrage,Juggernaut,gjaggerbf,178,Portugal,100;
412,,,cdowniebg@miibeian.gov.cn,male,barrage,Saboteur,mflackebg,292,Belarus,100;
413,Hynda,,hbevenbh@networksolutions.com,male,arctic armour,Assassin,hflickerbh,307,Nigeria,100;
414,Hilario,,hgrahlmansbi@bloglovin.com,male,arctic armour,Berserker,hskermebi,365,Indonesia,100;
415,Mercedes,Roylance,mroylancebj@printfriendly.com,male,animate weapon,Slayer,mroylancebj,47,Pakistan,17;
416,,Oret,loretbk@com.com,male,arctic armour,Elementalist,aoretbk,28,Guatemala,21;
417,Petronille,Christoforou,pchristoforoubl@zimbio.com,male,arctic armour,Pathfinder,pchristoforoubl,87,Paraguay,54;
418,,Le-Good,nlegoodbm@yellowbook.com,male,barrage,Berserker,wlegoodbm,17,Netherlands,1;
419,Raynell,Hanselmann,rhanselmannbn@marriott.com,male,animate weapon,Ascendant,rhanselmannbn,296,Brazil,100;
420,Camilla,,cshoemarkbo@timesonline.co.uk,male,barrage,Occultist,croughleybo,374,Namibia,100;
421,Jacinta,Broddle,jbroddlebp@networksolutions.com,male,barrage,Ascendant,jbroddlebp,351,Poland,100;
422,,Angric,mangricbq@mozilla.org,male,barrage,Occultist,kangricbq,96,Indonesia,48;
423,Pammie,,pkalbererbr@fda.gov,male,animate weapon,Guardian,pmahmoodbr,366,Greece,100;
424,Gallagher,Gomersall,ggomersallbs@ezinearticles.com,male,barrage,Pathfinder,ggomersallbs,108,Philippines,36;
425,,Hanshawe,ahanshawebt@vk.com,male,barrage,Inquisitor,rhanshawebt,80,Chile,44;
426,Ranna,Franseco,rfransecobu@nytimes.com,male,arctic armour,Pathfinder,rfransecobu,160,Philippines,100;
427,Stormy,Jeenes,sjeenesbv@ebay.co.uk,male,animate weapon,Champion,sjeenesbv,131,Argentina,100;
428,Lucilia,Bill,lbillbw@ucla.edu,male,animate weapon,Hierophant,lbillbw,34,Argentina,4;
429,,Thickins,gthickinsbx@usnews.com,male,animate weapon,Trickster,fthickinsbx,412,Indonesia,100;
430,Corty,,cwewellby@spotify.com,male,animate weapon,Pathfinder,ccageby,68,Portugal,55;
431,Kermit,Kelling,kkellingbz@webnode.com,male,arctic armour,Ascendant,kkellingbz,81,Indonesia,54;
432,Casar,Ironside,cironsidec0@hexun.com,male,barrage,Saboteur,cironsidec0,131,Indonesia,100;
433,Alf,,awalshc1@sogou.com,male,barrage,Trickster,ajicklesc1,186,Greece,100;
434,Pammie,Wyndham,pwyndhamc2@zimbio.com,male,animate weapon,Pathfinder,pwyndhamc2,282,Russia,100;
435,,,mchalcroftc3@sakura.ne.jp,male,barrage,Pathfinder,mlukeschc3,215,Russia,100;
436,Algernon,,abirtlesc4@ed.gov,male,barrage,Inquisitor,aolliffec4,446,Russia,100;
437,Rockie,Alejo,ralejoc5@mapy.cz,male,barrage,Deadeye,ralejoc5,361,Philippines,100;
438,,,gratledgec6@1688.com,male,arctic armour,Gladiator,efalconerc6,192,Argentina,100;
439,Leanor,,llednorc7@plala.or.jp,male,barrage,Berserker,lgreatbankc7,134,Greece,100;
440,Sandro,Lovett,slovettc8@fc2.com,male,barrage,Chieftain,slovettc8,183,Brazil,100;
441,Domingo,Cottell,dcottellc9@booking.com,male,arctic armour,Champion,dcottellc9,173,Germany,100;
442,Zackariah,Wrassell,zwrassellca@reverbnation.com,male,barrage,Juggernaut,zwrassellca,322,China,100;
443,Reggie,Backsal,rbacksalcb@etsy.com,male,barrage,Chieftain,rbacksalcb,213,China,100;
444,Roxy,Denniston,rdennistoncc@soup.io,male,animate weapon,Pathfinder,rdennistoncc,436,China,100;
445,,,aveverscd@merriam-webster.com,male,barrage,Deadeye,dhubbockcd,391,China,100;
446,Leonard,,lcrosence@dion.ne.jp,male,animate weapon,Inquisitor,lkisbeece,155,China,100;
447,Read,Stovin,rstovincf@istockphoto.com,male,arctic armour,Trickster,rstovincf,41,Portugal,22;
448,Willette,,wsizlandcg@twitpic.com,male,barrage,Assassin,wandreascg,393,Indonesia,100;
449,Blanca,,bcopingch@independent.co.uk,male,barrage,Occultist,bbewlych,148,China,100;
450,Anetta,,amilwardci@google.co.jp,male,barrage,Trickster,apopleyci,13,Indonesia,12;
451,Aurlie,,asamsoncj@squidoo.com,male,animate weapon,Champion,astrathdeecj,230,Indonesia,100;
452,Amalee,Marke,amarkeck@dropbox.com,male,animate weapon,Saboteur,amarkeck,108,Canada,64;
453,Doreen,,dmactrustramcl@berkeley.edu,male,barrage,Guardian,dblacklercl,29,China,13;
454,Karrie,McAusland,kmcauslandcm@discuz.net,male,animate weapon,Gladiator,kmcauslandcm,403,Indonesia,100;
455,Jacynth,Ridgedell,jridgedellcn@umn.edu,male,barrage,Champion,jridgedellcn,112,China,70;
456,Richmond,Spurnier,rspurnierco@disqus.com,male,animate weapon,Saboteur,rspurnierco,111,France,35;
457,Torrance,Triplow,ttriplowcp@umn.edu,male,arctic armour,Raider,ttriplowcp,383,Indonesia,100;
458,Drucy,,dmorloncq@about.com,male,animate weapon,Necromancer,dpaschkecq,26,China,1;
459,Tobiah,Jaffra,tjaffracr@pen.io,male,barrage,Champion,tjaffracr,300,Thailand,100;
460,,Dotson,udotsoncs@bizjournals.com,male,arctic armour,Champion,mdotsoncs,94,Honduras,67;
461,Keeley,,kpettigreect@telegraph.co.uk,male,arctic armour,Guardian,kbransdenct,161,Russia,100;
462,Etan,Abbot,eabbotcu@bbb.org,male,animate weapon,Chieftain,eabbotcu,36,Venezuela,8;
463,Rowland,Fiddiman,rfiddimancv@mlb.com,male,animate weapon,Necromancer,rfiddimancv,321,Pakistan,100;
464,Cloris,,cbarendtsencw@ow.ly,male,animate weapon,Occultist,cnellcw,259,Russia,100;
465,Lucia,Phelip,lphelipcx@ucoz.ru,male,animate weapon,Occultist,lphelipcx,109,Philippines,44;
466,Eyde,Parlot,eparlotcy@berkeley.edu,male,barrage,Inquisitor,eparlotcy,390,China,100;
467,Bengt,Donohue,bdonohuecz@sun.com,male,barrage,Deadeye,bdonohuecz,296,Kenya,100;
468,Koo,,kosmand0@amazonaws.com,male,barrage,Necromancer,karmfirldd0,399,China,100;
469,Patin,Mocher,pmocherd1@newsvine.com,male,arctic armour,Occultist,pmocherd1,65,Indonesia,56;
470,Karleen,,kpawled2@apple.com,male,animate weapon,Assassin,kmattockd2,142,China,100;
471,Ivy,,ifreaked3@statcounter.com,male,animate weapon,Gladiator,ipoulneyd3,409,France,100;
472,Maisey,,mgurryd4@tiny.cc,male,barrage,Slayer,mlasseterd4,299,Russia,100;
473,June,Whistance,jwhistanced5@indiatimes.com,male,animate weapon,Hierophant,jwhistanced5,4,Russia,16;
474,Fanny,Gillcrist,fgillcristd6@plala.or.jp,male,barrage,Slayer,fgillcristd6,276,Philippines,100;
475,Kareem,,ktomczynskid7@cyberchimps.com,male,animate weapon,Pathfinder,klascelld7,144,Philippines,100;
476,Dimitry,Hinchon,dhinchond8@ifeng.com,male,barrage,Trickster,dhinchond8,215,Portugal,100;
477,Gregg,,glitzmannd9@tinyurl.com,male,animate weapon,Inquisitor,gcarniliand9,165,Philippines,100;
478,Cassey,,cbestallda@mapquest.com,male,arctic armour,Champion,cgibbesonda,425,Pakistan,100;
479,Sutton,,scancellariodb@china.com.cn,male,arctic armour,Saboteur,skeighleydb,175,Canada,100;
480,Trix,Escudier,tescudierdc@archive.org,male,barrage,Saboteur,tescudierdc,49,Sweden,20;
481,Betta,,barkowdd@de.vu,male,barrage,Champion,badamskydd,113,Poland,44;
482,Cindra,Camings,ccamingsde@moonfruit.com,male,animate weapon,Elementalist,ccamingsde,176,Indonesia,100;
483,Blaire,Kenen,bkenendf@oakley.com,male,barrage,Saboteur,bkenendf,275,Greece,100;
484,Gregorius,Ambrus,gambrusdg@smugmug.com,male,barrage,Berserker,gambrusdg,119,China,50;
485,Josi,Cornock,jcornockdh@mozilla.org,male,arctic armour,Juggernaut,jcornockdh,170,China,100;
486,Curry,,ctremaynedi@apache.org,male,arctic armour,Ascendant,cmcgowrandi,339,Sweden,100;
487,Alvina,Whytock,awhytockdj@unicef.org,male,arctic armour,Occultist,awhytockdj,430,Indonesia,100;
488,Karia,MacGraith,kmacgraithdk@hostgator.com,male,arctic armour,Inquisitor,kmacgraithdk,233,Indonesia,100;
489,,MacFayden,hmacfaydendl@discuz.net,male,barrage,Inquisitor,fmacfaydendl,140,China,100;
490,Ulrike,,ubilldm@arstechnica.com,male,barrage,Saboteur,uyanshindm,71,Mexico,30;
491,Bird,Cleaveland,bcleavelanddn@ibm.com,male,arctic armour,Slayer,bcleavelanddn,298,Spain,100;
492,Hart,Bernardotti,hbernardottido@wordpress.com,male,arctic armour,Raider,hbernardottido,84,Iran,63;
493,Issie,Duligal,iduligaldp@squarespace.com,male,animate weapon,Trickster,iduligaldp,364,Russia,100;
494,Therese,Thurlby,tthurlbydq@webs.com,male,animate weapon,Ascendant,tthurlbydq,196,Indonesia,100;
495,Patsy,Wyness,pwynessdr@ocn.ne.jp,male,arctic armour,Juggernaut,pwynessdr,318,Russia,100;
496,Cherie,Sitlinton,csitlintonds@smugmug.com,male,barrage,Deadeye,csitlintonds,438,Sweden,100;
497,,,fschimekdt@ft.com,male,animate weapon,Gladiator,cwewelldt,109,Colombia,37;
498,Idelle,Djekovic,idjekovicdu@xing.com,male,barrage,Gladiator,idjekovicdu,407,United States,100;
499,,Spanswick,hspanswickdv@berkeley.edu,male,barrage,Hierophant,cspanswickdv,398,Indonesia,100;
500,Tod,,tmayoudw@stumbleupon.com,male,arctic armour,Deadeye,tgraceydw,320,Colombia,100;
501,Vi,Rawll,vrawlldx@hp.com,male,barrage,Ascendant,vrawlldx,206,Indonesia,100;
502,Janean,Leaves,jleavesdy@jigsy.com,male,barrage,Slayer,jleavesdy,278,Peru,100;
503,Paxton,Sparkes,psparkesdz@qq.com,male,barrage,Deadeye,psparkesdz,132,China,100;
504,Jobi,Tackley,jtackleye0@salon.com,male,animate weapon,Ascendant,jtackleye0,429,Afghanistan,100;
505,Clair,,cbrunkere1@globo.com,male,arctic armour,Hierophant,cmalshingere1,155,Netherlands,100;
506,Laird,,lpollingtone2@gnu.org,male,arctic armour,Ascendant,lgullande2,253,Belarus,100;
507,Papageno,,pmcgrathe3@scribd.com,male,barrage,Elementalist,pibotsone3,315,Chad,100;
508,Gunar,,gjenceye4@nifty.com,male,barrage,Hierophant,galldrede4,247,Israel,100;
509,Gunther,Sailer,gsailere5@sciencedaily.com,male,barrage,Ascendant,gsailere5,405,Portugal,100;
510,Lyle,,lbrokenbrowe6@youtube.com,male,barrage,Raider,lgerckene6,36,China,8;
511,Amelia,Peartree,apeartreee7@tripadvisor.com,male,animate weapon,Assassin,apeartreee7,376,Sweden,100;
512,Ninette,,npennere8@vimeo.com,male,barrage,Elementalist,ngrimsdalee8,319,Indonesia,100;
513,Joey,Dean,jdeane9@joomla.org,male,barrage,Chieftain,jdeane9,51,China,37;
514,Guinevere,Skitteral,gskitteralea@army.mil,male,animate weapon,Necromancer,gskitteralea,78,Czech Republic,36;
515,Euell,Admans,eadmanseb@timesonline.co.uk,male,arctic armour,Slayer,eadmanseb,88,China,53;
516,Efren,Goodbairn,egoodbairnec@paypal.com,male,barrage,Raider,egoodbairnec,332,Argentina,100;
517,Karl,,ksearbyed@dmoz.org,male,animate weapon,Trickster,kthornbarrowed,297,Paraguay,100;
518,Killy,,khacksbyee@storify.com,male,barrage,Assassin,kverrillsee,356,Russia,100;
519,Guinevere,Lindfors,glindforsef@hibu.com,male,arctic armour,Berserker,glindforsef,89,Russia,29;
520,Sterne,,shabershaweg@spotify.com,male,animate weapon,Elementalist,sshirtcliffeeg,231,Ukraine,100;
